lab_id,subj_id,subj_num,age_group,age_days,premature_days,method,screen_size_inches,infant_distance_cm,RA_number,RA_1,RA_1_naive,RA_2,RA_2_naive,cb_order,condition,push_up_identity,push_up_order,push_up_side,meet_eligibility,exclude_session,exclusion_type_1,exclusion_type_2,exclusion_type_3,exclusion_type_4,notes,second_session,caregiver_seat,participant_gender,primarycaregiver_gender,hearing_vision,hearing_vision_info,cognitive_developmental,cognitive_developmental_info,infant_handedness,parentA_handedness,parentB_handedness,primary_language,percent_primarylanguage,colorblindness_primaryfamily,choice_experimenter_mask,character_choice,helper_hinderer_choice,left_right_choice,touch_both,touch_both_usable,trial1_sawcriticalevent,trial1_lookingtime_videoevent,trial1_lookingtime_freezeframe,trial1_numrepeats,trial2_sawcriticalevent,trial2_lookingtime_videoevent,trial2_lookingtime_freezeframe,trial2_numrepeats,trial3_sawcriticalevent,trial3_lookingtime_videoevent,trial3_lookingtime_freezeframe,trial3_numrepeats,trial4_sawcriticalevent,trial4_lookingtime_videoevent,trial4_lookingtime_freezeframe,trial4_numrepeats,trial5_sawcriticalevent,trial5_lookingtime_videoevent,trial5_lookingtime_freezeframe,trial5_numrepeats,trial6_sawcriticalevent,trial6_lookingtime_videoevent,trial6_lookingtime_freezeframe,trial6_numrepeats,trial7_sawcriticalevent,trial7_lookingtime_videoevent,trial7_lookingtime_freezeframe,trial7_numrepeats,trial8_sawcriticalevent,trial8_lookingtime_videoevent,trial8_lookingtime_freezeframe,trial8_numrepeats,trial9_sawcriticalevent,trial9_lookingtime_videoevent,trial9_lookingtime_freezeframe,trial9_numrepeats,trial10_sawcriticalevent,trial10_lookingtime_videoevent,trial10_lookingtime_freezeframe,trial10_numrepeats,trial11_sawcriticalevent,trial11_lookingtime_videoevent,trial11_lookingtime_freezeframe,trial11_numrepeats,trial12_sawcriticalevent,trial12_lookingtime_videoevent,trial12_lookingtime_freezeframe,trial12_numrepeats,trial13_sawcriticalevent,trial13_lookingtime_videoevent,trial13_lookingtime_freezeframe,trial13_numrepeats,trial14_sawcriticalevent,trial14_lookingtime_videoevent,trial14_lookingtime_freezeframe,trial14_numrepeats
mecdmpihcbs,VP02,2,eight,273,0,eye-tracking,17,67,1,Jana,N,NA,NA,10,nonsocial,triangle,first,left,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,U,R,R,german,100,N,N,square,hinderer,right,Y,usable,Y,13,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mecdmpihcbs,VP03,3,nine,285,0,eye-tracking,17,55,2,Jana,N,Jolien,N,6,social,square,first,left,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,female,N,NA,N,NA,U,R,R,german,100,N,N,triangle,hinderer,right,N,NA,Y,13,17,0,Y,13,13,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mecdmpihcbs,VP04,4,eight,264,0,eye-tracking,17,60,2,Jolien,N,Jana,N,15,nonsocial,square,second,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,B,R,R,german,100,N,N,square,helper,right,N,NA,Y,13,21,0,Y,13,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mecdmpihcbs,VP05,5,nine,287,7,eye-tracking,17,62,1,Jolien,N,NA,NA,7,social,square,second,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,female,N,NA,N,NA,R,R,R,german,100,N,N,square,helper,right,N,NA,Y,13,24,0,Y,13,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mecdmpihcbs,VP06,6,seven,236,6,eye-tracking,17,60,1,Jolien,N,NA,NA,12,nonsocial,triangle,second,left,Y,not_excluded,NA,NA,NA,NA,"Calibration didn閳ユ獩 work out, therefore did the study without",N,caregiver,female,female,N,NA,N,NA,B,R,R,german,100,N,N,none,none,none,Y,unusable,Y,13,NA,0,Y,13,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mecdmpihcbs,VP07,7,six,189,0,eye-tracking,17,59,1,Jana,N,NA,NA,2,social,triangle,first,left,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,male,female,N,NA,N,NA,U,R,R,german,95,N,N,square,hinderer,right,N,NA,Y,13,23,0,Y,13,16,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mecdmpihcbs,VP08,8,five,168,0,eye-tracking,17,NA,1,Jolien,N,NA,NA,14,nonsocial,square,first,left,N,excluded,EquipmentError,NA,NA,NA,"Calibration didn楹搕 work, therefore did the study without; did not work very well",N,caregiver,male,female,N,NA,N,NA,R,R,R,german,100,N,N,square,helper,left,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mecdmpihcbs,VP09,9,nine,292,0,eye-tracking,17,60,1,Jolien,N,NA,NA,1,social,triangle,first,right,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,female,N,NA,NA,NA,U,L,R,german,100,N,N,none,none,none,N,NA,Y,13,16,0,Y,13,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mecdmpihcbs,VP10,10,six,188,0,eye-tracking,17,60,1,Jolien,N,NA,NA,16,nonsocial,square,second,left,Y,not_excluded,NA,NA,NA,NA,NA,N,caregiver,female,male,N,NA,N,NA,U,R,R,"german, arabian",50,N,N,square,helper,left,Y,usable,Y,13,11,0,Y,13,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mecdmpihcbs,VP11,11,six,184,0,eye-tracking,17,60,1,Jolien,N,NA,NA,5,social,square,first,right,N,excluded,FailToMakeChoice,OutsideInterference,NA,NA,"didn楹搕 select one at first, mother motivated a bit, then visually guided reach yellow",N,caregiver,male,female,N,NA,N,NA,U,R,R,german,100,N,N,triangle,hinderer,left,N,NA,Y,13,24,0,Y,13,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
